source,target,year
AMERICAN REPUBLICS,Holly Brewer ,2012
AMERICAN REPUBLICS,Louise Pubols ,2012
CENTRAL STATE,Gary Gerstle ,2012
CENTRAL STATE,Elizabeth Blackmar,2012
CENTRAL STATE,Adam Rothman ,2012
CENTRAL STATE,Max Edling ,2012
COMPROMISE AND CRISIS IN THE POLITICS OF THE 1850S,Corey M. Brooks,2012
COMPROMISE AND CRISIS IN THE POLITICS OF THE 1850S,Rachel A. Shelden,2012
COMPROMISE AND CRISIS IN THE POLITICS OF THE 1850S,Thomas H. Sheeler,2012
COMPROMISE AND CRISIS IN THE POLITICS OF THE 1850S,Jonathan Daniel Wells,2012
CONSTRUCTING AND CHALLENGING GENDER IDEALS IN,Flash Press ,2012
CONSTRUCTING AND CHALLENGING GENDER IDEALS IN,Katherine Hijar ,2012
CONSTRUCTING AND CHALLENGING GENDER IDEALS IN,Allison Lange ,2012
CONSTRUCTING AND CHALLENGING GENDER IDEALS IN,Amber Moulton ,2012
CONSTRUCTING AND CHALLENGING GENDER IDEALS IN,Amy Ritcher,2012
DISESTABLISHMENTAND POLITICS,Sarah Barringer Gordon ,2012
DISESTABLISHMENTAND POLITICS,Stephanie Corrigan ,2012
DISESTABLISHMENTAND POLITICS,Mark McGarvie ,2012
DISESTABLISHMENTAND POLITICS,Peter C. Hoffer,2012
ESTABLISHING AUTHORITY AND PURSUING POWER IN THE,Samuel Watson ,2012
ESTABLISHING AUTHORITY AND PURSUING POWER IN THE,Heath Bowen ,2012
ESTABLISHING AUTHORITY AND PURSUING POWER IN THE,Cambridge Ridley Lynch ,2012
ESTABLISHING AUTHORITY AND PURSUING POWER IN THE,Jeffrey Pasley,2012
ETHNOLOGYENSLAVEMENTAND EMPIRE,Britt M. Rusert,2012
ETHNOLOGYENSLAVEMENTAND EMPIRE,Sean P. Harvey,2012
ETHNOLOGYENSLAVEMENTAND EMPIRE,Lewis Henry Morgan ,2012
ETHNOLOGYENSLAVEMENTAND EMPIRE,Brian Connolly ,2012
ETHNOLOGYENSLAVEMENTAND EMPIRE,Bruce Dain,2012
EXPERIENCES IN THE WAR OF 1812,Jonathan Jones ,2012
EXPERIENCES IN THE WAR OF 1812,Nathan Kozuskanich ,2012
EXPERIENCES IN THE WAR OF 1812,Kristopher Maulden ,2012
EXPERIENCES IN THE WAR OF 1812,Matthew Mason,2012
F. E,Vicki Rozema ,2012
F. E,Edward DuBois Ragan ,2012
F. E,Greg O,2012
FANTASY,Jane Fiegen Green ,2012
FANTASY,Seth Cotlar ,2012
FANTASY,James Z. Schwartz,2012
FANTASY,Brian P. Luskey,2012
GENDERPROPERTYAND SELFFASHIONING IN THE,Sara Damiano ,2012
GENDERPROPERTYAND SELFFASHIONING IN THE,Michael A. Blaakman,2012
GENDERPROPERTYAND SELFFASHIONING IN THE,Mary Beth Sievens,2012
GEOGRAPHIES OF U.S. EMPIRE,Elspeth Martini ,2012
GEOGRAPHIES OF U.S. EMPIRE,Emily Conroy-Krutz ,2012
GEOGRAPHIES OF U.S. EMPIRE,Amanda Hendrix-Komoto ,2012
GEOGRAPHIES OF U.S. EMPIRE,Amy S. Greenberg,2012
HOST: P,Andrew R.L. Clayton,2012
HOSTS: P,Andrew R.L. Clayton,2012
INTERDISCIPLINARY PERSPECTIVES,Mark Leone ,2012
INTERDISCIPLINARY PERSPECTIVES,Maurie McInnis ,2012
INTERDISCIPLINARY PERSPECTIVES,Seth Rockman ,2012
INTERDISCIPLINARY PERSPECTIVES,Kym Rice,2012
J.M. O,Eric R. Schlereth,2012
J.M. O,Kathleen DuVal,2012
J.M. O,James E. Lewis,2012
KNOWLEDGE IN THE EARLY REPUBLIC,Susan Brandt ,2012
KNOWLEDGE IN THE EARLY REPUBLIC,Jessica C. Linker,2012
KNOWLEDGE IN THE EARLY REPUBLIC,John L. Dwiggins,2012
KNOWLEDGE IN THE EARLY REPUBLIC,Elizabeth R. Varon,2012
LAW IN THE EARLY REPUBLIC,John Crane ,2012
LAW IN THE EARLY REPUBLIC,Jessica K. Lowe,2012
LAW IN THE EARLY REPUBLIC,Peter Wallenstein ,2012
LAW IN THE EARLY REPUBLIC,Gregory Ablavsky ,2012
LAW IN THE EARLY REPUBLIC,Alfred Brophy,2012
LOYALTY AND SACRIFICE IN THE EARLY REPUBLIC,Divided Loyalties ,2012
LOYALTY AND SACRIFICE IN THE EARLY REPUBLIC,Phillip Hamilton ,2012
LOYALTY AND SACRIFICE IN THE EARLY REPUBLIC,Aaron N. Coleman,2012
LOYALTY AND SACRIFICE IN THE EARLY REPUBLIC,Michael Schwarz ,2012
LOYALTY AND SACRIFICE IN THE EARLY REPUBLIC,Sarah Purcell,2012
LUST AND LOVE IN ANTEBELLUM REFORM,April R. Haynes,2012
LUST AND LOVE IN ANTEBELLUM REFORM,Carol Faulkner ,2012
LUST AND LOVE IN ANTEBELLUM REFORM,Lori D. Ginzberg,2012
MATERIAL CULTURE,Carolyn Eastman,2012
MATERIAL CULTURE,Ritchie Garrison ,2012
MATERIAL CULTURE,Catherine E. Kelly,2012
MATERIAL CULTURE,David Jaffee ,2012
MATERIAL CULTURE,Faith Davis Ruffins ,2012
MENWOMENAND AUTHORSHIP IN THE EARLY REPUBLIC,Robb Haberman ,2012
MENWOMENAND AUTHORSHIP IN THE EARLY REPUBLIC,Jason Hoppe ,2012
MENWOMENAND AUTHORSHIP IN THE EARLY REPUBLIC,Katherine Jorgensen Gray ,2012
MENWOMENAND AUTHORSHIP IN THE EARLY REPUBLIC,Leon Jackson,2012
MISADVENTURES,Kevin Arlyck ,2012
MISADVENTURES,Daniel Hulsebosch ,2012
MISADVENTURES,Timothy A. Milford,2012
MISADVENTURES,Deborah Rosen,2012
NATIONALISM AND PARTISANSHIP IN THE ANTEBELLUM ERA,Michael Landis ,2012
NATIONALISM AND PARTISANSHIP IN THE ANTEBELLUM ERA,Martin Herschock ,2012
NATIONALISM AND PARTISANSHIP IN THE ANTEBELLUM ERA,Paul Finkelman ,2012
NATIONALISM AND PARTISANSHIP IN THE ANTEBELLUM ERA,Chandra Manning,2012
NEW DIRECTIONS IN WAR OF 1812 SCHOLARSHIP,William S. Dudley,2012
NEW DIRECTIONS IN WAR OF 1812 SCHOLARSHIP,Nicole Eustace ,2012
NEW DIRECTIONS IN WAR OF 1812 SCHOLARSHIP,John Grodzinski ,2012
NEW DIRECTIONS IN WAR OF 1812 SCHOLARSHIP,Scott Sheads ,2012
NEW DIRECTIONS IN WAR OF 1812 SCHOLARSHIP,David Curtis Skaggs ,2012
NEW DIRECTIONS IN WAR OF 1812 SCHOLARSHIP,Gene A. Smith,2012
OF NORTHERN COLONIZATIONISTS,Gale L. Kenny,2012
OF NORTHERN COLONIZATIONISTS,Beverly Tomek ,2012
OF NORTHERN COLONIZATIONISTS,William Pencak ,2012
OF NORTHERN COLONIZATIONISTS,James B. Stewart,2012
OF THE AMERICAN ANTIQUARIAN SOCIETY,Alea Henle ,2012
OF THE AMERICAN ANTIQUARIAN SOCIETY,Thomas Knoles ,2012
OF THE AMERICAN ANTIQUARIAN SOCIETY,James Snead ,2012
OF THE AMERICAN ANTIQUARIAN SOCIETY,Paul Erickson,2012
ON PUBLICACADEMIC HISTORY PARTNERSHIPS,Michael McGandy ,2012
ON PUBLICACADEMIC HISTORY PARTNERSHIPS,Peter Seibert ,2012
ON PUBLICACADEMIC HISTORY PARTNERSHIPS,Robert Weible,2012
PERSPECTIVES ON THE DOUGHFACES,Nicole Etcheson ,2012
PERSPECTIVES ON THE DOUGHFACES,Richard M. Johnson,2012
PERSPECTIVES ON THE DOUGHFACES,Nicholas P. Cox,2012
PERSPECTIVES ON THE DOUGHFACES,Nathaniel P. Tallmadge,2012
PERSPECTIVES ON THE DOUGHFACES,William C. RivesStephen A. Douglas,2012
PERSPECTIVES ON THE DOUGHFACES,Evan C. Rothera,2012
PERSPECTIVES ON THE DOUGHFACES,John Quist,2012
PLENARY: 1812: GLOBAL DIMENSIONS,David Bell,2012
PLENARY: 1812: GLOBAL DIMENSIONS,Marixa Lasso ,2012
PLENARY: 1812: GLOBAL DIMENSIONS,Caitlin Fitz ,2012
PLENARY: 1812: GLOBAL DIMENSIONS,Brian DeLay ,2012
POLITICAL IN EARLY REPUBLICAN FRIENDSHIPS,Kevin Butterfield ,2012
POLITICAL IN EARLY REPUBLICAN FRIENDSHIPS,Cassandra Good ,2012
POLITICAL IN EARLY REPUBLICAN FRIENDSHIPS,Setting Up For,2012
POLITICAL IN EARLY REPUBLICAN FRIENDSHIPS,Jessica Choppin Roney ,2012
POLITICAL IN EARLY REPUBLICAN FRIENDSHIPS,Catherine O,2012
PROFITAND NATIONAL BORDERS IN THE EARLY REPUBLIC,David Beyreis ,2012
PROFITAND NATIONAL BORDERS IN THE EARLY REPUBLIC,Had No Queen,2012
PROFITAND NATIONAL BORDERS IN THE EARLY REPUBLIC,Dael Norwood ,2012
RACE AND FOREIGN ENCOUNTERS,Brett Goodin ,2012
RACE AND FOREIGN ENCOUNTERS,Kelly Knight ,2012
RACE AND FOREIGN ENCOUNTERS,Joan Bryant ,2012
RACEEQUALITYAND RIGHTS IN THE OLD NORTHWEST,Silvana R. Siddali,2012
RACEEQUALITYAND RIGHTS IN THE OLD NORTHWEST,James Simeone ,2012
RACEEQUALITYAND RIGHTS IN THE OLD NORTHWEST,Dana Weiner,2012
REGIONALAND PERSONAL,Dorothy Ripley ,2012
REGIONALAND PERSONAL,Sarah Crabtree ,2012
REGIONALAND PERSONAL,Susan Kozel ,2012
REGIONALAND PERSONAL,Glenn Crothers,2012
REGIONALAND PERSONAL,Jonathan Sassi,2012
REPUBLIC,Ellery Foutch ,2012
REPUBLIC,Whitney Martinko ,2012
REPUBLIC,Aaron Wunsch ,2012
REPUBLIC,Elizabeth Milroy,2012
REPUBLIC: A ROUNDTABLE DISCUSSION,Patricia Dockman Anderson ,2012
REPUBLIC: A ROUNDTABLE DISCUSSION,Robert J. Brugger,2012
REPUBLIC: A ROUNDTABLE DISCUSSION,Frank Towers ,2012
REPUBLIC: CROSSNATIONAL CURRENTS AND COMPARISONS,Edward Rugemer ,2012
REPUBLIC: CROSSNATIONAL CURRENTS AND COMPARISONS,Enrico Dal Lago ,2012
REPUBLIC: CROSSNATIONAL CURRENTS AND COMPARISONS,Stacey Robertson ,2012
REPUBLIC: CROSSNATIONAL CURRENTS AND COMPARISONS,Margot Minardi,2012
REPUBLIC: LOCAL AND GLOBAL CASE STUDIES,Caleb McDaniel ,2012
REPUBLIC: LOCAL AND GLOBAL CASE STUDIES,Hunter Price ,2012
REPUBLIC: LOCAL AND GLOBAL CASE STUDIES,Patricia Cline Cohen ,2012
REPUBLIC: LOCAL AND GLOBAL CASE STUDIES,Richard R. John,2012
REVISITING FEMALE BIOGRAPHY: A NEW ROUNDTABLE,Cynthia A. Kierner,2012
REVISITING FEMALE BIOGRAPHY: A NEW ROUNDTABLE,Charlene Boyer Lewis ,2012
REVISITING FEMALE BIOGRAPHY: A NEW ROUNDTABLE,Lucia McMahon ,2012
REVISITING FEMALE BIOGRAPHY: A NEW ROUNDTABLE,Beth A. Salerno,2012
REVISITING FEMALE BIOGRAPHY: A NEW ROUNDTABLE,Rosemarie Zagarri ,2012
REVOLUTIONARY WAR AND WAR OF 1812,Jennifer Van Horn ,2012
REVOLUTIONARY WAR AND WAR OF 1812,James Jackson Ashton ,2012
REVOLUTIONARY WAR AND WAR OF 1812,Zara Anishanslin ,2012
REVOLUTIONARY WAR AND WAR OF 1812,Joanna Cohen,2012
SACRED READINGMORAL TEXTS,Margaret Abruzzo ,2012
SACRED READINGMORAL TEXTS,Seth Perry ,2012
SACRED READINGMORAL TEXTS,Beth Barton Schweiger ,2012
SACRED READINGMORAL TEXTS,Mary C. Kelley,2012
SCIENCE AND MEDICINE,Amanda Moniz ,2012
SCIENCE AND MEDICINE,Katherine Arner ,2012
SCIENCE AND MEDICINE,Cameron Strang ,2012
SCIENCE AND MEDICINE,Sara Gronim,2012
SHAPING OF LATE COLONIAL AND TERRITORIAL FLORIDA,Laurel Clark Shire ,2012
SHAPING OF LATE COLONIAL AND TERRITORIAL FLORIDA,Slave Rebels ,2012
SHAPING OF LATE COLONIAL AND TERRITORIAL FLORIDA,Nathaniel Millett ,2012
SHAPING OF LATE COLONIAL AND TERRITORIAL FLORIDA,Territorial Florida ,2012
SHAPING OF LATE COLONIAL AND TERRITORIAL FLORIDA,John Paul Nuno ,2012
SHAPING OF LATE COLONIAL AND TERRITORIAL FLORIDA,Malinda Maynor Lowery,2012
SLAVERY IN AN ATLANTIC WORLD,Brandon Mills ,2012
SLAVERY IN AN ATLANTIC WORLD,Jerry Colley ,2012
SLAVERY IN AN ATLANTIC WORLD,Eric Burin ,2012
SLAVERY IN AN ATLANTIC WORLD,Douglas Egerton,2012
SLAVERYRACEAND POSTCOLONIAL AMERICAN IDENTITIES,David Waldstreicher ,2012
SLAVERYRACEAND POSTCOLONIAL AMERICAN IDENTITIES,Adam Wolkoff ,2012
SLAVERYRACEAND POSTCOLONIAL AMERICAN IDENTITIES,Frank Towers ,2012
SLAVERYSTATEAND SOCIETY IN THE BORDERLANDS,John Craig Hammond ,2012
SLAVERYSTATEAND SOCIETY IN THE BORDERLANDS,Matthew Salafia ,2012
SLAVERYSTATEAND SOCIETY IN THE BORDERLANDS,Robert E. Bonner,2012
SLAVERYSTATEAND SOCIETY IN THE BORDERLANDS,Stanley Harrold ,2012
SOCIAL HISTORIES OF THE TRANSPORTATION REVOLUTION,Will B. Mackintosh,2012
SOCIAL HISTORIES OF THE TRANSPORTATION REVOLUTION,Spencer Snow ,2012
SOCIAL HISTORIES OF THE TRANSPORTATION REVOLUTION,Aaron W. Marrs,2012
SOCIAL HISTORIES OF THE TRANSPORTATION REVOLUTION,Christopher Clark,2012
STATE OF THE FIELD: ROUNDTABLE ON CULTURAL HISTORY,Thomas Augst,2012
STATE OF THE FIELD: ROUNDTABLE ON CULTURAL HISTORY,Jay Cook ,2012
STATE OF THE FIELD: ROUNDTABLE ON CULTURAL HISTORY,Ann Fabian ,2012
STATE OF THE FIELD: ROUNDTABLE ON CULTURAL HISTORY,David Henkin ,2012
STATE OF THE FIELD: ROUNDTABLE ON CULTURAL HISTORY,Jane Kamensky ,2012
THE ART OF HISTORY: WORKING ON YOUR FIRST BOOK,Daniel C. Littlefield,2012
THE ART OF HISTORY: WORKING ON YOUR FIRST BOOK,Daniel K. Richter,2012
THE EARLY REPUBLIC,Rachel Hope Cleves ,2012
THE EARLY REPUBLIC,Jennifer Manion ,2012
THE EARLY REPUBLIC,Sean Trainor ,2012
THE EARLY REPUBLIC,Bruce Dorsey,2012
THE MOVE,Lee Chambers ,2012
THE MOVE,Lisa Wilson ,2012
THE MOVE,Wayne Bodle ,2012
THE MOVE,C. Dallett Hemphill,2012
THE OLD NORTHWEST,Lucy Eldersveld Murphy ,2012
THE OLD NORTHWEST,Patrick Allan Pospisek ,2012
THE OLD NORTHWEST,Joshua J. Jeffers,2012
THE OLD NORTHWEST,Susan Sleeper,2012
TIME AND MATERIAL CULTURE IN EARLY NATIONAL AND,Eric Wertheimer ,2012
TIME AND MATERIAL CULTURE IN EARLY NATIONAL AND,Thomas Allen ,2012
TIME AND MATERIAL CULTURE IN EARLY NATIONAL AND,Michelle Sizemore ,2012
TIME AND MATERIAL CULTURE IN EARLY NATIONAL AND,Stephen Mihm,2012
TO GRADUAL ABOLITION,James Gigantino ,2012
TO GRADUAL ABOLITION,Sarah Levine-Gronningsater ,2012
TO GRADUAL ABOLITION,Craig Hollander ,2012
TO GRADUAL ABOLITION,Gautham Rao,2012
U.S. M,Edward Pompeian ,2012
U.S. M,Cathy Matson,2012
WHO INVENTED THE SECOND GREAT AWAKENING,Mary Kupiec Cayton ,2012
WHO INVENTED THE SECOND GREAT AWAKENING,Christine Heyrman,2012
WHO INVENTED THE SECOND GREAT AWAKENING,Christopher Grasso ,2012
1 • “THERE ARE MEN OF PRINCIPLES IN BOTH PARTIES”:,Harry Watson,2013
1 • “THERE ARE MEN OF PRINCIPLES IN BOTH PARTIES”:,Christopher Childers,2013
1 • “THERE ARE MEN OF PRINCIPLES IN BOTH PARTIES”:,Adam Pratt,2013
1 • “THERE ARE MEN OF PRINCIPLES IN BOTH PARTIES”:,Texas Annexation,2013
1 • “THERE ARE MEN OF PRINCIPLES IN BOTH PARTIES”:,Michael A. Morrison,2013
1 • “THERE ARE MEN OF PRINCIPLES IN BOTH PARTIES”:,Reeve Huston,2013
1 • “THERE ARE MEN OF PRINCIPLES IN BOTH PARTIES”:,Stephen Maizlish,2013
10 • TYING AND UNTYING THE KNOT: PUBLIC BATTLES OVER,Elaine Forman Crane,2013
10 • TYING AND UNTYING THE KNOT: PUBLIC BATTLES OVER,Emily J. Arendt,2013
10 • TYING AND UNTYING THE KNOT: PUBLIC BATTLES OVER,Jacqueline Beatty,2013
10 • TYING AND UNTYING THE KNOT: PUBLIC BATTLES OVER,Doron S. Ben-Atar,2013
10 • TYING AND UNTYING THE KNOT: PUBLIC BATTLES OVER,Mary Beth Sievens,2013
11 • GRADUATE PREPARATION FOR THE COMING,John Lauritz Larson,2013
11 • GRADUATE PREPARATION FOR THE COMING,Robert A. Gross,2013
11 • GRADUATE PREPARATION FOR THE COMING,Cathy Kelly,2013
11 • GRADUATE PREPARATION FOR THE COMING,Alan Taylor,2013
11 • GRADUATE PREPARATION FOR THE COMING,Sarah Swedberg,2013
11 • GRADUATE PREPARATION FOR THE COMING,Robert A. Johnson,2013
"12 • ANTI-CATHOLIC AMERICA: CITIZENSHIP, NATIVISM, AND",Alexis McCrossen,2013
"12 • ANTI-CATHOLIC AMERICA: CITIZENSHIP, NATIVISM, AND",Maura Farrelly,2013
"12 • ANTI-CATHOLIC AMERICA: CITIZENSHIP, NATIVISM, AND",Michael Pasquier,2013
"12 • ANTI-CATHOLIC AMERICA: CITIZENSHIP, NATIVISM, AND",Luke Ritter,2013
"12 • ANTI-CATHOLIC AMERICA: CITIZENSHIP, NATIVISM, AND",Christine Heyrman,2013
13 • THE INS AND OUTS OF RESEARCH AND FELLOWSHIPS,John Hoover,2013
13 • THE INS AND OUTS OF RESEARCH AND FELLOWSHIPS,Peter Kastor,2013
13 • THE INS AND OUTS OF RESEARCH AND FELLOWSHIPS,Amy Greenberg,2013
13 • THE INS AND OUTS OF RESEARCH AND FELLOWSHIPS,Albrecht Koschnik,2013
14 • REFORM AND IMPROVEMENT ON THE EARLY AMERICAN,Christopher Clark,2013
14 • REFORM AND IMPROVEMENT ON THE EARLY AMERICAN,Urban Reform,2013
14 • REFORM AND IMPROVEMENT ON THE EARLY AMERICAN,Whitney Martinko,2013
14 • REFORM AND IMPROVEMENT ON THE EARLY AMERICAN,The Woodlands Estate,2013
14 • REFORM AND IMPROVEMENT ON THE EARLY AMERICAN,Sarah Chesney,2013
14 • REFORM AND IMPROVEMENT ON THE EARLY AMERICAN,Christa Dierksheide,2013
14 • REFORM AND IMPROVEMENT ON THE EARLY AMERICAN,Kariann Yokota,2013
15 • TEACHING SLAVERY AND ANTISLAVERY NOW AND THEN,James Brewer Stewart,2013
15 • TEACHING SLAVERY AND ANTISLAVERY NOW AND THEN,Edward Rugemer,2013
15 • TEACHING SLAVERY AND ANTISLAVERY NOW AND THEN,John Donoghue,2013
15 • TEACHING SLAVERY AND ANTISLAVERY NOW AND THEN,Matt Mason,2013
16 • WHAT DOES NATIONAL REPUBLICANISM MEAN IN 2013,Richard R. John,2013
16 • WHAT DOES NATIONAL REPUBLICANISM MEAN IN 2013,James H. Broussard,2013
16 • WHAT DOES NATIONAL REPUBLICANISM MEAN IN 2013,Nancy G. Isenberg,2013
16 • WHAT DOES NATIONAL REPUBLICANISM MEAN IN 2013,Daniel Preston,2013
16 • WHAT DOES NATIONAL REPUBLICANISM MEAN IN 2013,Donald J. Ratcliffe,2013
16 • WHAT DOES NATIONAL REPUBLICANISM MEAN IN 2013,Gene Allen Smith,2013
16 • WHAT DOES NATIONAL REPUBLICANISM MEAN IN 2013,Samuel Watson,2013
"17 • SAPIENT SWINE, STRIPED PIGS, AND PORTRAITS OF",Jeffrey Hyson,2013
"17 • SAPIENT SWINE, STRIPED PIGS, AND PORTRAITS OF",Russell A. Potter,2013
"17 • SAPIENT SWINE, STRIPED PIGS, AND PORTRAITS OF",Mary Fuhrer,2013
"17 • SAPIENT SWINE, STRIPED PIGS, AND PORTRAITS OF",Emily Pawley,2013
"17 • SAPIENT SWINE, STRIPED PIGS, AND PORTRAITS OF",Jessica M. Lepler,2013
18 • TRANSATLANTIC WEBS OF INTRIGUE AND FRAUD,Joanne Freeman,2013
18 • TRANSATLANTIC WEBS OF INTRIGUE AND FRAUD,United States,2013
18 • TRANSATLANTIC WEBS OF INTRIGUE AND FRAUD,Caitlin Fitz,2013
18 • TRANSATLANTIC WEBS OF INTRIGUE AND FRAUD,Brian Luskey,2013
18 • TRANSATLANTIC WEBS OF INTRIGUE AND FRAUD,Brian Schoen,2013
18 • TRANSATLANTIC WEBS OF INTRIGUE AND FRAUD,Sam Haynes,2013
"19 • RACE, POLITICS, AND THE LAW",Thomas E. Carney,2013
"19 • RACE, POLITICS, AND THE LAW",Julie Winch,2013
"19 • RACE, POLITICS, AND THE LAW",Natalie Joy,2013
"19 • RACE, POLITICS, AND THE LAW",Shannon E. Duffy,2013
"19 • RACE, POLITICS, AND THE LAW",Ethan R. Bennett,2013
"19 • RACE, POLITICS, AND THE LAW",Paul Finkelman,2013
2 • AFRICAN AMERICAN HOMESTEADS: RACE AND,Anna-Lisa Grace Cox,2013
2 • AFRICAN AMERICAN HOMESTEADS: RACE AND,David Brodnax,2013
2 • AFRICAN AMERICAN HOMESTEADS: RACE AND,Silvana R. Siddali,2013
2 • AFRICAN AMERICAN HOMESTEADS: RACE AND,James L. Huston,2013
20 • SCANDAL! CHALLENGING FAMILY AND COMMUNITY,Victoria Bynum,2013
20 • SCANDAL! CHALLENGING FAMILY AND COMMUNITY,Lynn Kennedy,2013
20 • SCANDAL! CHALLENGING FAMILY AND COMMUNITY,Joshua Lynn Bearden,2013
20 • SCANDAL! CHALLENGING FAMILY AND COMMUNITY,Ivy Farr McIntyre,2013
20 • SCANDAL! CHALLENGING FAMILY AND COMMUNITY,Amy Harris,2013
"21 • HANNAH, “ONE-EYED” SARAH, AND SARAH BASS:",Katrina D. Thompson,2013
"21 • HANNAH, “ONE-EYED” SARAH, AND SARAH BASS:",Susan Hanket Brandt,2013
"21 • HANNAH, “ONE-EYED” SARAH, AND SARAH BASS:",Gabriel Loiacono,2013
"21 • HANNAH, “ONE-EYED” SARAH, AND SARAH BASS:",Mark R. Cheathem,2013
"21 • HANNAH, “ONE-EYED” SARAH, AND SARAH BASS:",Joanne Pope Melish,2013
22 • THE EARLY PRESIDENCY IN THE AMERICAN PUBLIC,Sandra Moats,2013
22 • THE EARLY PRESIDENCY IN THE AMERICAN PUBLIC,Matthew Crow,2013
22 • THE EARLY PRESIDENCY IN THE AMERICAN PUBLIC,Nathaniel C. Green,2013
22 • THE EARLY PRESIDENCY IN THE AMERICAN PUBLIC,Angela Kreider,2013
22 • THE EARLY PRESIDENCY IN THE AMERICAN PUBLIC,Andrew W. Robertson,2013
"23 • CELESTIAL CITIES, BABYLONS, OR VANITY FAIRS",Margaret Sumner,2013
"23 • CELESTIAL CITIES, BABYLONS, OR VANITY FAIRS",Kyle Roberts,2013
"23 • CELESTIAL CITIES, BABYLONS, OR VANITY FAIRS",Matthew Smith,2013
"23 • CELESTIAL CITIES, BABYLONS, OR VANITY FAIRS",Nate Wiewora,2013
"23 • CELESTIAL CITIES, BABYLONS, OR VANITY FAIRS",Terry Bilhartz,2013
24 • CRAFTING CONFIDENCE: COMMERCIAL ACTORS AND RISK,Jane Kamensky,2013
24 • CRAFTING CONFIDENCE: COMMERCIAL ACTORS AND RISK,Rachel Tamar Van,2013
24 • CRAFTING CONFIDENCE: COMMERCIAL ACTORS AND RISK,Catherine Cangany,2013
24 • CRAFTING CONFIDENCE: COMMERCIAL ACTORS AND RISK,Hannah Farber,2013
24 • CRAFTING CONFIDENCE: COMMERCIAL ACTORS AND RISK,Seth Cotlar,2013
25 • 1849: THE CRITICAL YEAR IN ST. LOUIS,Randy Roth,2013
25 • 1849: THE CRITICAL YEAR IN ST. LOUIS,Mark Abbott,2013
25 • 1849: THE CRITICAL YEAR IN ST. LOUIS,Christopher Gordon,2013
25 • 1849: THE CRITICAL YEAR IN ST. LOUIS,Jeffrey Smith,2013
25 • 1849: THE CRITICAL YEAR IN ST. LOUIS,C. Robert Wilson,2013
26 • HUNTING GROUNDS: PURSUING ANIMALS IN THE EARLY,Daniel Justin Herman,2013
26 • HUNTING GROUNDS: PURSUING ANIMALS IN THE EARLY,Robert C. Deal,2013
26 • HUNTING GROUNDS: PURSUING ANIMALS IN THE EARLY,Andrea L. Smalley,2013
26 • HUNTING GROUNDS: PURSUING ANIMALS IN THE EARLY,Courtney Wiersema,2013
26 • HUNTING GROUNDS: PURSUING ANIMALS IN THE EARLY,Tycho de Boer,2013
27 • INTIMATE VIOLENCE AGAINST WIVES IN THE EARLY,C. Dallett Hemphill,2013
27 • INTIMATE VIOLENCE AGAINST WIVES IN THE EARLY,Michelle Du Ross,2013
27 • INTIMATE VIOLENCE AGAINST WIVES IN THE EARLY,Kelly A. Ryan,2013
27 • INTIMATE VIOLENCE AGAINST WIVES IN THE EARLY,Lindsay Keiter,2013
27 • INTIMATE VIOLENCE AGAINST WIVES IN THE EARLY,Sheila Skemp,2013
"28 • PETER ONUF, HISTORIAN OF THE EARLY REPUBLIC",Annette Gordon-Reed,2013
"28 • PETER ONUF, HISTORIAN OF THE EARLY REPUBLIC",Jack Rakove,2013
"28 • PETER ONUF, HISTORIAN OF THE EARLY REPUBLIC",Rosemarie Zagarri,2013
"28 • PETER ONUF, HISTORIAN OF THE EARLY REPUBLIC",Peter S. Onuf,2013
29 • HONOR BE DAMNED: CHALLENGES TO HONOR CULTURE,Matthew Rafferty,2013
29 • HONOR BE DAMNED: CHALLENGES TO HONOR CULTURE,Matthew A. Byron,2013
29 • HONOR BE DAMNED: CHALLENGES TO HONOR CULTURE,William Cossen,2013
29 • HONOR BE DAMNED: CHALLENGES TO HONOR CULTURE,Craig Smith,2013
29 • HONOR BE DAMNED: CHALLENGES TO HONOR CULTURE,Robin Sager,2013
29 • HONOR BE DAMNED: CHALLENGES TO HONOR CULTURE,Todd Hagstette,2013
3 • AUTHORITY AND SOCIAL CAPITAL AMONG EARLY,James Bratt,2013
3 • AUTHORITY AND SOCIAL CAPITAL AMONG EARLY,Lisa Zevorich,2013
3 • AUTHORITY AND SOCIAL CAPITAL AMONG EARLY,Jeffrey Thomas Perry,2013
3 • AUTHORITY AND SOCIAL CAPITAL AMONG EARLY,Jeffrey D. Kovach,2013
3 • AUTHORITY AND SOCIAL CAPITAL AMONG EARLY,Johann N. Neem,2013
30 • BEYOND MARIA MONK: CATHOLICS NAVIGATING A,Jonathan Sassi,2013
30 • BEYOND MARIA MONK: CATHOLICS NAVIGATING A,Susanna Linsley,2013
30 • BEYOND MARIA MONK: CATHOLICS NAVIGATING A,Kara French,2013
30 • BEYOND MARIA MONK: CATHOLICS NAVIGATING A,Margaret Lasch Carroll,2013
30 • BEYOND MARIA MONK: CATHOLICS NAVIGATING A,Moren McIntosh Hodgetts,2013
31 • INTERACTIONS BETWEEN AMERICAN MERCHANTS AND,Roderick McDonald,2013
31 • INTERACTIONS BETWEEN AMERICAN MERCHANTS AND,James W. Roberts,2013
31 • INTERACTIONS BETWEEN AMERICAN MERCHANTS AND,Abby Schreiber,2013
31 • INTERACTIONS BETWEEN AMERICAN MERCHANTS AND,Jordan Smith,2013
