source,target,year
2014-13  SUBMITTING YOUR FIRST ARTICLE: ADVICE FROM THE,Dallett Hemphill,2014
2014-35  WOMEN AND ECONOMIC SPACES IN EARLY,Dallett Hemphill,2014
2015-21 • A FRUITFUL MARRIAGE,Dallett Hemphill,2015
1992-9. Gender and the Ideal of Purity: A Second Look at,Dallett Hemphill,1992
2000-7. GENDER AND TRAVEL IN THE EARLY AMERICAN REPUBLIC,Dallett Hemphill,2000
2005-1. Sex and Murder in Philadelphia-What's a Brother to Do? (Penn Room),Dallett Hemphill,2005
2011-18. Medical Practices in Antebellum America: Culture and,Dan Allosso,2011
2010-18. Medical Practices in Antebellum America: Culture and,Dan Allosso,2010
"2005-1. The War of 1812: Race, Gender, and Popular Sovereignty (Penn Room)",Dan Hicks,2005
2017-4 • IRISH MIGRANTS AND THEIR ANTAGONISTS IN MIDNINETEENTH CENTURY NORTH AMERICA,Dan Horner,2017
2008-48 Paragraphs:,Dan Preston,2008
2011-35. Race and Rights in the Antebellum Old Northwest,Dana E. Weiner,2011
2012-RACEEQUALITYAND RIGHTS IN THE OLD NORTHWEST,Dana E. Weiner,2012
2013-32 • RACIAL IDENTITIES AND THE FORMATION OF,Dana E. Weiner,2013
2010-35. Race and Rights in the Antebellum Old Northwest,Dana E. Weiner,2010
2009-42. Extralegal Violence and Rights in the Early Republic,Dana Elizabeth Weiner,2009
"1983-6. Jacksonian Politics: Chair,",Dana Ridings,1983
2019-26 • ROUNDTABLE: NEW DIRECTIONS OF MILITARY,Dana Stefanelli,2019
2021-21: Consensus And Congestion: Early Republican,Dana Wiggins Logan,2021
2018-49 • RELIGION AND THE STATE: THE COMPLEX ROLES OF,Danae Jacobson,2018
2004-24. Early American Expansion (MacMillan 115),Dane Harigrove,2004
2015-9 • MARITIME AND GENDERED ENCOUNTERS IN THE,Dane Morrison,2015
"2021-11: Travel, Trade, And Faith: U.S. Relations With",Dane Morrison,2021
2022-37: From West To East: Rethinking Expansion And,Dane Morrison,2022
2014-36  THE ART OF ANTI-CATHOLICISM: THE AESTHETICS,Daniel A. Cohen,2014
2016-28 • GENDER AND SENSATIONALIZED PRINT CULTURE IN,Daniel A. Cohen,2016
"1987-1. Homicide in the Early Republic, Room 502",Daniel A. Cohen,1987
1988-1. The Moral Economy of Fashion,Daniel A. Cohen,1988
1992-21. The Bard and the Bawd: High Brow/Low Brow in,Daniel A. Cohen,1992
1997-1. Catholicism in the Early Republic,Daniel A. Cohen,1997
2005-35. On Being Catholic in Antebellum America (Hancock Room),Daniel A. Cohen,2005
2008-8. Unmasking Men: How Assumptions about Race and Violence,Daniel A. Graff,2008
2014-12  MEANINGS OF MASCULINITY IN THE EARLY REPUBLIC,Daniel Belczak,2014
"2018-36 • LAW, DIPLOMACY, AND THE CULTURE OF SETTLER",Daniel Belczak,2018
"1991-14. Land, Law, and Political Culture:",Daniel Boone,1991
2012-THE ART OF HISTORY: WORKING ON YOUR FIRST BOOK,Daniel C. Littlefield,2012
"2013-9 • CITIZENSHIP, COLORISM, AND SEPARATION:",Daniel C. Littlefield,2013
2015-15 • A CONVERSATION WITH CLARENCE WALKER ABOUT,Daniel C. Littlefield,2015
2016-39 • MICROHISTORIES OF RACIAL FORMATION IN THE,Daniel C. Littlefield,2016
1990-25. The Failed Consensus: Origins of the Second Party,Daniel Crofts,1990
2005-1. Communities in Revolt: Southampton County and Nat Turner's Rebellion (Jefferson Room),Daniel Crofts,2005
1997-1. Religious Conflict in the Early,Daniel Crosby,1997
2021-40: Thermometer At Sunrise: Digitizing,Daniel Druckenbrod,2021
2018-17 • STATES OF SPECULATION:WESTERN LANDS AND THE,Daniel Dupre,2018
2019-31 • BAD BICENTENNIAL: A ROUNDTABLE ON THE PANIC,Daniel Dupre,2019
1992-20. Early American Political Economy in Transition,Daniel Dupre,1992
1996-1. Cultural Politics in the Early National West,Daniel Dupre,1996
1998-1. The Political and Social Consequences of,Daniel Dupre,1998
1999-1. Studies in Failure,Daniel Dupre,1999
2003-3. LIBERTY'S JANUS FACE: DISORDERLY,Daniel Dupre,2003
2005-1. Economic Panics and the Culture of Failure in the Early Republic (Jefferson Room),Daniel Dupre,2005
2005-1. Economic Panics and the Culture of Failure in the Early Republic (Jefferson Room),Daniel Dupre,2005
2009-13. Exploring “Whither the Revolution,Daniel Feller,2009
2014-3  THE ART OF DEMOCRATIC POWER: ANDREW JACKSON,Daniel Feller,2014
2016-46 • REGULATING MARITIME MIGRANTS IN THE EARLY,Daniel Feller,2016
2017-28 • WAR AND MEMORY IN THE EARLY REPUBLIC,Daniel Feller,2017
1988-1. Jacksonian Democracy in the Making and,Daniel Feller,1988
1989-4. Kinship and Careers,Daniel Feller,1989
1990-22. The Age of Jackson Revisited,Daniel Feller,1990
1991-17. Government and Greed: The Problem of,Daniel Feller,1991
1992-1. Opening Plenary Session,Daniel Feller,1992
1996-1. Antipartyism and Party Formation in the,Daniel Feller,1996
1997-1. Boardroom 1 CHAIR,Daniel Feller,1997
1999-1. Racial and Party Politics in Jacksonian America,Daniel Feller,1999
2000-1. NEW PERSPECTIVES ON JACKSONIAN POLITICS:,Daniel Feller,2000
2001-1. NARRATIVE STRATEGIES: A DISCUSSION OF 1831: YEAR OF ECLIPSE,Daniel Feller,2001
2003-4.)GREAT BOOKS I: JOHN LARSON'S,Daniel Feller,2003
2005-1. The Limits of Democracy in Antebellum America (Jefferson Room),Daniel Feller,2005
2022-6: Enslaver Capitalism And The Growth Of,Daniel Ferrell,2022
2009-1. Divided Communities on a Middle Ground,Daniel Flaherty,2009
1981-1. Jacksonian Politics in the States.,Daniel H. Calhoun,1981
2012-MISADVENTURES,Daniel Hulsebosch,2012
2003-10. INTERDISCIPLINARY APPROACHES TO CONSTITUTIONAL HISTORY,Daniel Hulsebosch,2003
2017-52 • NEW APPROACHES TO WESTERN EXPANSION AND,Daniel J. Burge,2017
1996-1. Religion and Politics in New England,Daniel J. Mcdonough,1996
1989-12. Moral Reform and Sectional Culture,Daniel J. Mcinerney,1989
1990-19. The Ideology of Reform in the Early Republic,Daniel J. Mcinerney,1990
1993-16. The Right to Consent: The Limits of Political,Daniel Jones,1993
2000-10. AGRICULTURE AND REFORM IN THE EARLY,Daniel Joseph Nadenicek,2000
2013-26 • HUNTING GROUNDS: PURSUING ANIMALS IN THE EARLY,Daniel Justin Herman,2013
2009-14. Conceptualizing the Backcountry in the Early Republic,Daniel K. Richter,2009
2012-THE ART OF HISTORY: WORKING ON YOUR FIRST BOOK,Daniel K. Richter,2012
2013-8 • IMAGINING PLACE IN THE EARLY AMERICAN REPUBLIC,Daniel K. Richter,2013
2014-30  NATIVE PEOPLE OF THE SOUTHEAST IN THE EARLY,Daniel K. Richter,2014
2016-40 • A MOST NECESSARY BOW,Daniel K. Richter,2016
2018-27 • RETHINKING AMERICA: A ROUNDTABLE IN HONOR OF,Daniel K. Richter,2018
2010-7. Reconsidering the Iroquois in the Early Republic,Daniel K. Richter,2010
1995-1. NEW APPROACHES TO THE HISTORY OF,Daniel K. Richter,1995
"1995-13. ETHNICITY, RELIGION, & COLLECTIVE",Daniel K. Richter,1995
1997-1. Indians in the Early Republic,Daniel K. Richter,1997
1998-1. Indian Relations in the Early Republic,Daniel K. Richter,1998
1999-1. Holding the Balance: Power Brokers and Mediators in Native North America Room 110,Daniel K. Richter,1999
2003-34. THE RE-CONSTITUTION OF INDIAN CULTURE IN EARLY NORTH AMERICA,Daniel K. Richter,2003
"2004-3. The Federalists, Race, and Expansion in the Early Republic (MacMillan 115)",Daniel K. Richter,2004
2006-23. Border Crossings: International Perspectives on the Iroquois Experience,Daniel K. Richter,2006
"2007-23. A Geo-History of the Early American Republic: Borders, Margins, Public Spaces, and Cartographic Designs (see related panel, Panel 21)",Daniel K. Richter,2007
2008-35. American Civic Identity and Practice in Comparative Perspective,Daniel Kilbride,2008
2009-43. Middle-Class Identity and Social Mobility in the Antebellum South,Daniel Kilbride,2009
2009-43. Middle-Class Identity and Social Mobility in the Antebellum South,Daniel Kilbride,2009
2011-51. Anglophobia in the Early American Republic,Daniel Kilbride,2011
2013-5 • EDWARD PESSEN,Daniel Kilbride,2013
2016-49 • ROUNDTABLE ON THE SLAVE,Daniel Kilbride,2016
"2018-3 • SEVEN WEDDINGS AND A FUNERAL: LIFE, DEATH,",Daniel Kilbride,2018
2019-16 • ARISTOCRACY IN AMERICA: OLD WORLD ORIGINS,Daniel Kilbride,2019
2019-16 • ARISTOCRACY IN AMERICA: OLD WORLD ORIGINS,Daniel Kilbride,2019
2010-51. Anglophobia in the Early American Republic,Daniel Kilbride,2010
1995-9. CLASS CHARACTER: SOCIAL DIFFER,Daniel Kilbride,1995
2000-7. GENDER AND TRAVEL IN THE EARLY AMERICAN REPUBLIC,Daniel Kilbride,2000
2003-2. THE FRENCH CONNECTION AND AMERICAN WOMEN,Daniel Kilbride,2003
"2005-1. Gender, Taverns, and Political Culture in the Early Republic (Franklin Room)",Daniel Kilbride,2005
"2006-24. North American Responses to Atlantic Revolutionary Movements, 1789-1848",Daniel Kilbride,2006
2018-53 • RETIREMENT IN THE YOUNG REPUBLIC: OLD AGE IN,Daniel Livesay,2018
"1993-11. Internal Improvements and Slavery Again: Redefining Issues in American Party Politics,",Daniel M. Jansen,1993
2009-11. Shaping the New Nation,Daniel Mandell,2009
2016-27 • TRANSNATIONAL POLITICAL ACTORS IN NORTH,Daniel Mandell,2016
"2017-53 • THE PUBLIC LANGUAGE OF CLASS IN AMERICA, 1790-",Daniel Mandell,2017
2018-17 • STATES OF SPECULATION:WESTERN LANDS AND THE,Daniel Mandell,2018
2019-29 • POWER AND RIGHTS IN THE EARLY REPUBLIC,Daniel Mandell,2019
2021-51: Echoes Of Violence: Memories Of Massacres On,Daniel Mandell,2021
2004-32. Religion and Reform Among Indians in the Early Republic,Daniel Mandell,2004
"2006-2. Race, Landlessness, and the Question of Dependence in the Early Republic",Daniel Mandell,2006
2009-18. Not a Nation but an Empire: Another View of the American West,Daniel P. Glenn,2009
2013-44 • PECHA-KUCHA,Daniel P. Glenn,2013
1989-18. Homes of the Heroes: The Challenges of,Daniel P. Jordan,1989
1981-1. Political Leadership in Jeffersonian Virginia.,Daniel P. Jordan,1981
"2017-5 • MURDER, LAND, AND NEGOTIATION: LOOKING FOR",Daniel Papsdorf,2017
2017-15 • TRANSNATIONAL SPECULATION AND STATE FORMATION,Daniel Parker,2017
2013-16 • WHAT DOES NATIONAL REPUBLICANISM MEAN IN 2013,Daniel Preston,2013
2018-34 • SOCIABILITY AND MATERIAL CULTURE IN THE EARLY,Daniel Preston,2018
1993-5. Political Culture in Jeffersonian Virginia,Daniel Preston,1993
"1999-1. James Monroe, National Boundaries, and National Defense Room 103",Daniel Preston,1999
"2005-1. Regional, and Local Perspectives on Internal Improvements (Adams Room)",Daniel Preston,2005
2021-28: Classical Perceptions Of Liberty In The American,Daniel R. Moy,2021
"2015-16 • SLAVERY, VIOLENCE, AND RESISTANCE THROUGH THE",Daniel Rood,2015
"2009-31. The Revolutionary Legacy in the 1850s Writings of Melville,",Daniel S. Malachuk,2009
2003-1855,Daniel S. Murphree,2003
2009-20. The Papers of Abraham Lincoln: Resources for Historians,Daniel W. Stowell,2009
1996-1. Proslavery and Abolition in the Antebellum,Daniel W. Stowell,1996
2009-Plenary: Lincoln and the Legacies of the American Revolution,Daniel Walker Howe,2009
1986-1. Robert H. Wiebe's The Opening of American Society:,Daniel Walker Howe,1986
1988-1. Plenary,Daniel Walker Howe,1988
1996-1. Apocalyptic Christianity in America,Daniel Walker Howe,1996
1996-1. Apocalyptic Christianity in America,Daniel Walker Howe,1996
2000-16. CULTIVATING RELIGIOUS PLURALISM IN THE,Daniel Walker Howe,2000
2001-1. SHEAR IN THE TWENTY-FIRST CENTURY:,Daniel Walker Howe,2001
1993-23. Society in Tune: Social Analyses,Daniel Watkins Patterson,1993
1988-1. Loosening the Ties that Bind Us: Crisis of,Daniel Williams,1988
2007-4. U.S.-Caribbean Crosscurrents,Daniel Williams,2007
2007-4. U.S.-Caribbean Crosscurrents,Daniel Williams,2007
"2014-50  RUMOR, GENDER, AND INTERRACIAL RELATIONSHIPS",Danielle Demiantschuk,2014
2016-39 • MICROHISTORIES OF RACIAL FORMATION IN THE,Danya Pilgrim,2016
"1994-Panel 8: The Republican Court Devlin Hall, Room 117",Daphne O'brien,1994
"2002-1828. as. .. a Case Study""*",Dara Baker,2002
2007-8. Politics: International and Intergenerational Perspectives,Dara Baker,2007
1994-Panel 16: Gendered Modes of Religious,Daria Donnelly,1994
"2015-16 • SLAVERY, VIOLENCE, AND RESISTANCE THROUGH THE",Darla Thompson,2015
2002-1. FROM EMERSON TO JEFFERSON: TWO ROMANTICS AND RACE,Darren Staloff,2002
2004-33. Importing Culture in the New Republic (Salomon 001),David A. Rawson,2004
"1987-1. Workers, Inventors, and Technological Change",David A. Zonderman,1987
"1987-1. Plenary Session 1619 Walnut, Auditorium, Stage 3",David B. Davis,1987
2013-50 • BANKS A LOT: PERSPECTIVES ON THE EARLY,David B. Mattern,2013
1989-13. Rebellion in a “Free” Society,David B. Mattern,1989
2005-35. On Being Catholic in Antebellum America (Hancock Room),David Barnwell,2005
2008-33. Revolutionary Relations: The Saint-Dominguan Influence on Early American,David Barry Gaspar,2008
"1996-1. Cultural Connections: Africa, South Caro",David Barry Gaspar,1996
2012-PLENARY: 1812: GLOBAL DIMENSIONS,David Bell,2012
"1997-1. Roundtable: Nationalism,",David Bell,1997
2012-PROFITAND NATIONAL BORDERS IN THE EARLY REPUBLIC,David Beyreis,2012
2016-9 • MEMORIES AND HISTORIES,David Blight,2016
1998-1. Busy Bees and Learned Pigs,David Brett Mizelle,1998
2003-10. INTERDISCIPLINARY APPROACHES TO CONSTITUTIONAL HISTORY,David Brian Robertson,2003
2011-35. Race and Rights in the Antebellum Old Northwest,David Brodnax,2011
2013-2 • AFRICAN AMERICAN HOMESTEADS: RACE AND,David Brodnax,2013
2016-42 • VIOLENCE VS. LAW,David Brodnax,2016
2010-35. Race and Rights in the Antebellum Old Northwest,David Brodnax,2010
1993-5. Political Culture in Jeffersonian Virginia,David Chesnutt,1993
1989-7. The United States Army in the Seminole Wars,David Coles,1989
2012-NEW DIRECTIONS IN WAR OF 1812 SCHOLARSHIP,David Curtis Skaggs,2012
1990-18. Officership in the Early U.S. Navy,David Curtis Skaggs,1990
2000-11. THE WAR OF 1812 AND ITS AFTERMATH,David Curtis Skaggs,2000
"2017-18 • BRAVERY, COWARDICE, AND MANHOOD IN THE",David Demaree,2017
2011-37. The United States and Hispano-American Independence:,David E. Narrett,2011
2010-37. The United States and Hispano-American Independence:,David E. Narrett,2010
2007-12. Looking South: U.S. Relations with Latin America,David E. Narrett,2007
2000-1. NEW PERSPECTIVES ON JACKSONIAN POLITICS:,David E. Woodard,2000
2004-24. Early American Expansion (MacMillan 115),David Fitzsimons,2004
1988-1. Saving the Republic: Christian Reformism,David G. Vanderstel,1988
1989-18. Homes of the Heroes: The Challenges of,David G. Vanderstel,1989
"2010-24. Government, Law, and Economy: A Roundtable in Remembrance",David H. Kelly,2010
1996-1. The Iconography of Freedom in Early,David Hackett Fischer,1996
2016-46 • REGULATING MARITIME MIGRANTS IN THE EARLY,David Hancock,2016
2011-1817: The Influence of,David Head,2011
"2016-25 • LOOPHOLES, TRAPS, AND HIDDEN AGENDAS",David Head,2016
2018-40 • IN RELATION TO WASHINGTON: SOLDIERS AND,David Head,2018
2010-37. The United States and Hispano-American Independence:,David Head,2010
"2007-28. On the Move in the Early American Republic: Tourists, Sailors, and",David Head,2007
1992-23. Change and Continuity in Antebellum Calvinism,David Hein,1992
2012-STATE OF THE FIELD: ROUNDTABLE ON CULTURAL HISTORY,David Henkin,2012
2002-10. DISORDERLY SPACES IN ANTEBELLUM URBAN AMERICA,David Henkin,2002
2004-17. Communications and Public Life in Antebellum America (Salomon 001),David Henkin,2004
1994-Panel 7: Class and Cultural Transformation in,David Hildebrand,1994
"1994-Panel 10: Abolitionism, Race, and Nationalism Devlin Hall, Room 026",David Hildebrand,1994
2015-8 • HISTORICAL THINKING AND SOCIAL TRANSFORMATION,David Holland,2015
2000-3. RELIGIOUS TENSIONS IN ANTEBELLUM,David Holland,2000
2001-1. CONFRONTING SLAVERY,David Holland,2001
2021-18: Roundtable: Rethinking The Federalist Party:,David Houpt,2021
1995-26. SCIENCE & RELIGION IN THE,David I. Spanagel,1995
2009-40. The Legal Framework of the West and Its Operation,David J. Bodenhamer,2009
"1984-5. The Free Exercise of Religion: Creating, Exhorting, Converting Business SPEA, Room 2000 Chair:",David J. Bodenhamer,1984
1986-1. Crime and Punishment Chair:,David J. Bodenhamer,1986
1990-1. The Fifth Amendment: Safeguarding Liberty in the,David J. Bodenhamer,1990
1991-8. The Transformation of Criminal Justice:,David J. Bodenhamer,1991
2008-17. Politics by Other Means: Imagining Violence in Early American History,David J. Dzurec,2008
"2003-17. FEAR, LOATHING, AND RELIGION IN ANTEBELLUM AMERICA",David J. Endres,2003
1996-1. The Enlightenment and its Influence:,David J. Mikosz,1996
"2011-49. The Brothertown Indians and Citizenship: Race, Property, and",David J. Silverman,2011
"2010-49. The Brothertown Indians and Citizenship: Race, Property, and",David J. Silverman,2010
"2009-31. The Revolutionary Legacy in the 1850s Writings of Melville,",David J. Voelker,2009
"2003-5. TRANSCENDENTALISM, CONTINENTALISM, AND REFORM",David J. Voelker,2003
2005-1. Anxious Democrats: The Problem of Republican Governance in the Early Republic,David J. Voelker,2005
2011-28. Roundtable: Reading the Visual in the Early Republic,David Jaffee,2011
2012-MATERIAL CULTURE,David Jaffee,2012
2014-43  THE MATERIAL CULTURE OF DISABILITY IN THE,David Jaffee,2014
"2016-34 • INSCRIPTION, MATERIAL CULTURE, AND PLACE IN",David Jaffee,2016
2010-28. Roundtable: Reading the Visual in the Early Republic,David Jaffee,2010
1985-1. Two Rural Americas: The Western Frontier and the Industrializing East Chair:,David Jaffee,1985
1992-3. Rural Labor in the Early Republic,David Jaffee,1992
1995-5. THE NEW ENGLAND COMMUNITY IDEAL,David Jaffee,1995
1995-5. THE NEW ENGLAND COMMUNITY IDEAL,David Jaffee,1995
"1997-1. Women as Consumers,",David Jaffee,1997
2000-31. MORE STATELY MANSIONS,David Jaffee,2000
2007-25. Print and Manuscript Cultures in the Antebellum Period,David Jaffee,2007
1998-1. Regional Consciousness and Sectional,David James Kiracofe,1998
"1987-1. Homicide in the Early Republic, Room 502",David Kasserman,1987
"1993-9. Mission, Slavery, Removal: Southern Native Americans",David Kleit,1993
"1996-1. Capital, Labor, & Economic Development",David L. Carlton,1996
"1987-1. The Means to the End: William Miller,",David L. Rowe,1987
1992-23. Change and Continuity in Antebellum Calvinism,David L. Rowe,1992
2011-36. Placing Children and Childhood in Antebellum Reform,David M. Greenspoon,2011
2010-36. Placing Children and Childhood in Antebellum Reform,David M. Greenspoon,2010
"1987-1. Republican Marriage, Room 523",David Moltke-Hansen,1987
"1987-1. Republican Marriage, Room 523",David Moltke-Hansen,1987
1998-1. Regional Consciousness and Sectional,David Moltke-Hansen,1998
1998-1. Regional Consciousness and Sectional,David Moltke-Hansen,1998
"2009-9. Revolutionary Legacies in the Jay Family and Beyond: Religion,",David N. Gellman,2009
2011-38. Race and Democracy: Defining Citizenship in the Early Republic,David N. Gellman,2011
"2014-38  EMPLOYING FRIENDS, STRUCTURING FAMILIES, AND",David N. Gellman,2014
2016-23 • TESTING THE BOUNDARIES OF FREEDOM AT THE TURN,David N. Gellman,2016
2019-8 • BEYOND NORTH VERSUS SOUTH: SLAVERY'S LONG,David N. Gellman,2019
2010-38. Race and Democracy: Defining Citizenship in the Early Republic,David N. Gellman,2010
1999-1. Race and the Rethinking of the New York Constitutional,David N. Gellman,1999
2014-14  SETTLER COLONIALISM: A FRAMEWORK FOR,David Nichols,2014
"2017-5 • MURDER, LAND, AND NEGOTIATION: LOOKING FOR",David Nichols,2017
2018-5 • REMAPPING THE BOUNDARIES OF INDIGENEITY,David Nichols,2018
2022-25: Avenues Of Resistance And Persistence In The,David Nichols,2022
1999-1. Holding the Balance: Power Brokers and Mediators in Native North America Room 110,David Nichols,1999
"2004-3. The Federalists, Race, and Expansion in the Early Republic (MacMillan 115)",David Nichols,2004
1991-2. Politics and Military Policy After the,David Osher,1991
1993-12. Toward a Republic of Letters: Print and,David Paul Nord,1993
1999-1. Race and the Rethinking of the New York Constitutional,David Quigley,1999
2001-1. WRITING AND READING THE EARLY,David Quigley,2001
2002-17. LOCATING THE U.S. IN THE NINETEENTH-CENTURY ATLANTIC WORLD,David Quigley,2002
1997-1. Remembering the Early Republic,David Robson,1997
1996-1. Coping with the Market Economy,David Rossell,1996
2011-1817: The Influence of,David S. Heidler,2011
2010-37. The United States and Hispano-American Independence:,David S. Heidler,2010
1989-19. Politics and the Roots of Bad Feelings,David S. Heidler,1989
1991-2. Politics and Military Policy After the,David S. Heidler,1991
2014-25  VALUING INTANGIBLES: EXPERIMENTING WITH,David Schley,2014
1993-23. Society in Tune: Social Analyses,David Shields,1993
"1994-Panel 8: The Republican Court Devlin Hall, Room 117",David Shields,1994
2000-1. PLENARY SESSION: THE QUESTION OF CULTURE,David Shields,2000
"2002-12. LIVING AND DYING IN THE MATERIAL,",David Shields,2002
2019-18 • ROUNDTABLE: JOANNE FREEMAN'S THE FIELD OF,David Silkenat,2019
2011-16. More Than Gossamer: Amphibious American Connections in the,David Sim,2011
2010-16. More Than Gossamer: Amphibious American Connections in the,David Sim,2010
2015-37 • PERSPECTIVES ON ENERGY AND THE EARLY REPUBLIC,David Singerman,2015
2000-31. MORE STATELY MANSIONS,David Steinberg,2000
2009-15. Women,David T. Konig,2009
1996-1. Law and Politics,David T. Konig,1996
2003-10. INTERDISCIPLINARY APPROACHES TO CONSTITUTIONAL HISTORY,David T. Konig,2003
2017-26 • ANXIETIES IN PRINT: COMMERCIAL UNCERTAINTY AND,David Thomas,2017
2021-13: Loyalists And Their Legacy,David Thomas,2021
1994-Panel 11: Sovereignty and Sociability under the,David Thomas Konig,1994
"2007-5. On Jefferson, Patriarchal Rage, Slavery and Sentiment—A Roundtable",David Thomas Konig,2007
1993-23. Society in Tune: Social Analyses,David W. Deacon,1993
2012-SLAVERYRACEAND POSTCOLONIAL AMERICAN IDENTITIES,David Waldstreicher,2012
2014-13  SUBMITTING YOUR FIRST ARTICLE: ADVICE FROM THE,David Waldstreicher,2014
2014-27  POLITICAL PICTURES: VISUAL CULTURE AND POLITICS,David Waldstreicher,2014
2014-56  THE REPUBLICAN COURT REVISITED: TWENTY YEARS,David Waldstreicher,2014
2018-11 • THE ORIGINS OF CELEBRITY IN THE REVOLUTION AND,David Waldstreicher,2018
2021-57: Roundtable: Political Structures And The,David Waldstreicher,2021
1993-27. Nationalism as Civic Religion,David Waldstreicher,1993
1995-8. THE POLITICAL CULTURE OF,David Waldstreicher,1995
1997-1. Politics in the 179os,David Waldstreicher,1997
1998-1. The Newest Political History:,David Waldstreicher,1998
1999-1. National Identity Within a Triangular Relationship: White American Insecurity,David Waldstreicher,1999
2000-23. NEWS AND OPINION,David Waldstreicher,2000
2001-1. BEYOND THE FOUNDERS II: SOCIAL IDENTITIES AND POLITICAL PRACTICES,David Waldstreicher,2001
2003-14. INTELLECTUALS AND AMERICAN NATIONALITY,David Waldstreicher,2003
"2005-1. Making Friends and Fighting Enemies: Identity, Loyalty, and Patriotism in the American",David Waldstreicher,2005
1998-1. Busy Bees and Learned Pigs,David Ward,1998
2013-39 • BRINGING SLAVERY INTO INTERPRETATION AT HISTORIC,David Young,2013
2007-25. Print and Manuscript Cultures in the Antebellum Period,Dawn Coleman,2007
"2007-23. A Geo-History of the Early American Republic: Borders, Margins, Public Spaces, and Cartographic Designs (see related panel, Panel 21)",Dawn Marsh Riggs,2007
2016-12 • THE PECULIAR INSTITUTION IN THE NATIVE SOUTH,Dawn Peterson,2016
2018-31 • REGENERATING VIOLENCE: ANGLO-INDIAN TRAUMA,Dawn Peterson,2018
2017-19 • NEW NARRATIVES IN ANTEBELLUM MEDICINE AND,Dea H. Boster,2017
"2018-47 • ANTEBELLUM AILMENTS: MENTAL ILLNESS,",Dea H. Boster,2018
2013-8 • IMAGINING PLACE IN THE EARLY AMERICAN REPUBLIC,Dean Bruno,2013
2014-14  SETTLER COLONIALISM: A FRAMEWORK FOR,Dean Bruno,2014
"2001-1. ART EXHIBIT: ""The Artistic Reconstruction of the Battle",Dean Mosher,2001
2001-1. INTERPRETING THE LIVES OF GENTRY,Deborah Lee,2001
2012-MISADVENTURES,Deborah Rosen,2012
2013-43 • THE UNDERGROUND RAILROAD: BIOGRAPHICAL AND,Deborah Van Broekhoven,2013
1985-1. Antislavery Historiography: The Last Twenty Years Chair:,Deborah Van Broekhoven,1985
"1987-1. Gender, Religion, and Social Change: The Case",Deborah Van Broekhoven,1987
"1988-1. Femininity, Imagined and Real",Deborah Van Broekhoven,1988
1990-13. Fugitive Slaves in Canada,Deborah Van Broekhoven,1990
1991-9. Exposing the Convent: Nativism and,Deborah Van Broekhoven,1991
1993-1. Concert Music of the Early Republic Rosenau Hall Auditorium,Deborah Van Broekhoven,1993
"1993-22. Women, Free Blacks, and Evolutions in",Deborah Van Broekhoven,1993
"1994-Panel 6: Sociability, Gender, and Consumer",Deborah Van Broekhoven,1994
1995-5. THE NEW ENGLAND COMMUNITY IDEAL,Deborah Van Broekhoven,1995
1997-1. Discourse about Slavery in Virginia,Deborah Van Broekhoven,1997
1998-1. Gender in the Making of Abolitionism,Deborah Van Broekhoven,1998
2001-1. AMERICAN EVANGELICALS: CONSTRUCTING A NEW CIVIL SOCIETY,Deborah Van Broekhoven,2001
1988-1. Perspectives on the African Colonization,Debra L. Newman,1988
2000-19. WOMEN AND POWER IN THE EARLY REPUBLIC,Debra M. O'neal,2000
1994-Panel 22: Transformations of Labor and,Debra Meyers,1994
"1987-1. The History Teaching Alliance: Prospects for Historians of the Early American Republic,",Debra Welch,1987
"1987-1. The History Teaching Alliance: Prospects for Historians of the Early American Republic,",Debra Welch,1987
2008-25. The Political Revealed,Dee Andrews,2008
2014-26  MOBILITY AND THE MAKING OF EARLY NATIONAL,Dee Andrews,2014
2003-30. GREAT BOOKS III: MARK NOLL'S AMERICA'S GOD,Dee Andrews,2003
2005-1. Against Slavery: Gradualism and Immediatism in Revolutionary and Antebellum,Dee Andrews,2005
2007-1. Borderlands: Still a Useful Category of Historical Analysis? Moderator:,Deena J. González,2007
"2015-16 • SLAVERY, VIOLENCE, AND RESISTANCE THROUGH THE",Deirdre Cooper Owens,2015
2017-8 • MENTAL ILLNESS AND RACIALIZED MEDICINE IN THE,Deirdre Cooper Owens,2017
2018-39 • MAKING SENSE OF EARLY AMERICAN ENVIRONMENTS,Deirdre Cooper Owens,2018
"2017-14 • ABOUT PHILLY, IN PHILLY: THINKING SPATIALLY",Dell Upton,2017
"2002-13. RACING TO TRADE: BODIES, GOODS, AND FARAWAY PLACES",Denise Bossy,2002
"2017-6 • RELIGION, POLITICS, AND CITIZENSHIP IN THE EARLY",Denise Spellberg,2017
2006-16. Constitutional and Civil Liberties in the Early Republic,Dennis Boman,2006
1987-1. Community Values and Social Change in,Dennis Dickerson,1987
1997-1. Financing and Improving,Dennis M. Shannon,1997
2002-17. LOCATING THE U.S. IN THE NINETEENTH-CENTURY ATLANTIC WORLD,Denver A. Brunsman,2002
"2006-25. Roundtable: Reconsidering Mastery, Mobility, and Community in Maritime America Panelists: W. Jeffrey Bolster, University of New Hampshire",Denver A. Brunsman,2006
2017-52 • NEW APPROACHES TO WESTERN EXPANSION AND,Derek Everett,2017
2021-25: Roundtable: Washington’s Many Afterlives In,Derek Kane O’leary,2021
